string1	string2
9606.ENSP00000287295	9606.ENSP00000361725
9606.ENSP00000287295	9606.ENSP00000361725
9606.ENSP00000451828	9606.ENSP00000359424
9606.ENSP00000451828	9606.ENSP00000430684
9606.ENSP00000375892	9606.ENSP00000359424
9606.ENSP00000375892	9606.ENSP00000430684
9606.ENSP00000500582	9606.ENSP00000359424
9606.ENSP00000500582	9606.ENSP00000430684
9606.ENSP00000448165	9606.ENSP00000330237
9606.ENSP00000358081	9606.ENSP00000363591
9606.ENSP00000358081	9606.ENSP00000363591
9606.ENSP00000358081	9606.ENSP00000293288
9606.ENSP00000358081	9606.ENSP00000293288
9606.ENSP00000287322	9606.ENSP00000286186
9606.ENSP00000287322	9606.ENSP00000351273
9606.ENSP00000363591	9606.ENSP00000287295
9606.ENSP00000363591	9606.ENSP00000287295
9606.ENSP00000363591	9606.ENSP00000293288
9606.ENSP00000363591	9606.ENSP00000398495
9606.ENSP00000363591	9606.ENSP00000398495
9606.ENSP00000293288	9606.ENSP00000307786
9606.ENSP00000293288	9606.ENSP00000307786
9606.ENSP00000381185	9606.ENSP00000363591
9606.ENSP00000381185	9606.ENSP00000363591
9606.ENSP00000381185	9606.ENSP00000293288
9606.ENSP00000381185	9606.ENSP00000293288
9606.ENSP00000381185	9606.ENSP00000216115
9606.ENSP00000453562	9606.ENSP00000365230
9606.ENSP00000376943	9606.ENSP00000363591
9606.ENSP00000376943	9606.ENSP00000363591
9606.ENSP00000376943	9606.ENSP00000293288
9606.ENSP00000376943	9606.ENSP00000293288
9606.ENSP00000365230	9606.ENSP00000363591
9606.ENSP00000365230	9606.ENSP00000363591
9606.ENSP00000365230	9606.ENSP00000293288
9606.ENSP00000365230	9606.ENSP00000293288
9606.ENSP00000365230	9606.ENSP00000307786
9606.ENSP00000365230	9606.ENSP00000307786
9606.ENSP00000250405	9606.ENSP00000363591
9606.ENSP00000250405	9606.ENSP00000363591
9606.ENSP00000250405	9606.ENSP00000293288
9606.ENSP00000250405	9606.ENSP00000293288
9606.ENSP00000250405	9606.ENSP00000363591
9606.ENSP00000250405	9606.ENSP00000363591
9606.ENSP00000250405	9606.ENSP00000293288
9606.ENSP00000250405	9606.ENSP00000293288
9606.ENSP00000477613	9606.ENSP00000311032
9606.ENSP00000477613	9606.ENSP00000358327
9606.ENSP00000477613	9606.ENSP00000330237
9606.ENSP00000263464	9606.ENSP00000311032
9606.ENSP00000263464	9606.ENSP00000358327
9606.ENSP00000263464	9606.ENSP00000330237
9606.ENSP00000314132	9606.ENSP00000363591
9606.ENSP00000314132	9606.ENSP00000363591
9606.ENSP00000314132	9606.ENSP00000293288
9606.ENSP00000314132	9606.ENSP00000293288
9606.ENSP00000286186	9606.ENSP00000311032
9606.ENSP00000286186	9606.ENSP00000358327
9606.ENSP00000311032	9606.ENSP00000256383
9606.ENSP00000358327	9606.ENSP00000256383
9606.ENSP00000351273	9606.ENSP00000311032
9606.ENSP00000351273	9606.ENSP00000358327
9606.ENSP00000312455	9606.ENSP00000286186
9606.ENSP00000312455	9606.ENSP00000351273
9606.ENSP00000359424	9606.ENSP00000216797
9606.ENSP00000359424	9606.ENSP00000216797
9606.ENSP00000439068	9606.ENSP00000286186
9606.ENSP00000439068	9606.ENSP00000351273
9606.ENSP00000439068	9606.ENSP00000482657
9606.ENSP00000439068	9606.ENSP00000294066
9606.ENSP00000439068	9606.ENSP00000263881
9606.ENSP00000439068	9606.ENSP00000343658
9606.ENSP00000439068	9606.ENSP00000263967
9606.ENSP00000439068	9606.ENSP00000501150
9606.ENSP00000439068	9606.ENSP00000366563
9606.ENSP00000439068	9606.ENSP00000419260
9606.ENSP00000439068	9606.ENSP00000408695
9606.ENSP00000439068	9606.ENSP00000496129
9606.ENSP00000439068	9606.ENSP00000331602
9606.ENSP00000439068	9606.ENSP00000306124
9606.ENSP00000439068	9606.ENSP00000263431
9606.ENSP00000439068	9606.ENSP00000329127
9606.ENSP00000439068	9606.ENSP00000263125
9606.ENSP00000439068	9606.ENSP00000259808
9606.ENSP00000439068	9606.ENSP00000341268
9606.ENSP00000439068	9606.ENSP00000247668
9606.ENSP00000307786	9606.ENSP00000448165
9606.ENSP00000266000	9606.ENSP00000286186
9606.ENSP00000266000	9606.ENSP00000351273
9606.ENSP00000266000	9606.ENSP00000301838
9606.ENSP00000266000	9606.ENSP00000356694
9606.ENSP00000266000	9606.ENSP00000498466
9606.ENSP00000266000	9606.ENSP00000351908
9606.ENSP00000266000	9606.ENSP00000351908
9606.ENSP00000398495	9606.ENSP00000477613
9606.ENSP00000398495	9606.ENSP00000263464
9606.ENSP00000398495	9606.ENSP00000360242
9606.ENSP00000233057	9606.ENSP00000256383
9606.ENSP00000233057	9606.ENSP00000269305
9606.ENSP00000301838	9606.ENSP00000286186
9606.ENSP00000301838	9606.ENSP00000351273
9606.ENSP00000301838	9606.ENSP00000356694
9606.ENSP00000301838	9606.ENSP00000498466
9606.ENSP00000301838	9606.ENSP00000351908
9606.ENSP00000301838	9606.ENSP00000351908
9606.ENSP00000301838	9606.ENSP00000341268
9606.ENSP00000498466	9606.ENSP00000286186
9606.ENSP00000498466	9606.ENSP00000351273
9606.ENSP00000498466	9606.ENSP00000356694
9606.ENSP00000356694	9606.ENSP00000286186
9606.ENSP00000356694	9606.ENSP00000351273
9606.ENSP00000356694	9606.ENSP00000351908
9606.ENSP00000356694	9606.ENSP00000351908
9606.ENSP00000498466	9606.ENSP00000351908
9606.ENSP00000498466	9606.ENSP00000351908
9606.ENSP00000306245	9606.ENSP00000360266
9606.ENSP00000216341	9606.ENSP00000286186
9606.ENSP00000216341	9606.ENSP00000349437
9606.ENSP00000216338	9606.ENSP00000286186
9606.ENSP00000216338	9606.ENSP00000349437
9606.ENSP00000364801	9606.ENSP00000287295
9606.ENSP00000364801	9606.ENSP00000287295
NA	9606.ENSP00000287295
NA	9606.ENSP00000287295
9606.ENSP00000364805	9606.ENSP00000287295
9606.ENSP00000364805	9606.ENSP00000287295
9606.ENSP00000378199	9606.ENSP00000287295
9606.ENSP00000378199	9606.ENSP00000287295
9606.ENSP00000324173	9606.ENSP00000287295
9606.ENSP00000324173	9606.ENSP00000287295
9606.ENSP00000310219	9606.ENSP00000287295
9606.ENSP00000310219	9606.ENSP00000287295
9606.ENSP00000437125	9606.ENSP00000287295
9606.ENSP00000437125	9606.ENSP00000287295
9606.ENSP00000430684	9606.ENSP00000216797
9606.ENSP00000430684	9606.ENSP00000216797
9606.ENSP00000403495	9606.ENSP00000439068
9606.ENSP00000403495	9606.ENSP00000301838
9606.ENSP00000403495	9606.ENSP00000310933
9606.ENSP00000403495	9606.ENSP00000482657
9606.ENSP00000403495	9606.ENSP00000351908
9606.ENSP00000403495	9606.ENSP00000351908
9606.ENSP00000403495	9606.ENSP00000259808
9606.ENSP00000403495	9606.ENSP00000162749
9606.ENSP00000403495	9606.ENSP00000365435
9606.ENSP00000403495	9606.ENSP00000341268
9606.ENSP00000403495	9606.ENSP00000247668
9606.ENSP00000403495	9606.ENSP00000247668
9606.ENSP00000410481	9606.ENSP00000439068
9606.ENSP00000410481	9606.ENSP00000301838
9606.ENSP00000410481	9606.ENSP00000310933
9606.ENSP00000410481	9606.ENSP00000482657
9606.ENSP00000410481	9606.ENSP00000351908
9606.ENSP00000410481	9606.ENSP00000351908
9606.ENSP00000410481	9606.ENSP00000259808
9606.ENSP00000410481	9606.ENSP00000162749
9606.ENSP00000410481	9606.ENSP00000365435
9606.ENSP00000410481	9606.ENSP00000341268
9606.ENSP00000410481	9606.ENSP00000247668
9606.ENSP00000410481	9606.ENSP00000247668
9606.ENSP00000310933	9606.ENSP00000351908
9606.ENSP00000310933	9606.ENSP00000351908
9606.ENSP00000310933	9606.ENSP00000162749
9606.ENSP00000310933	9606.ENSP00000398698
9606.ENSP00000345083	9606.ENSP00000215832
9606.ENSP00000345083	9606.ENSP00000215832
9606.ENSP00000345083	9606.ENSP00000263025
9606.ENSP00000345083	9606.ENSP00000263025
9606.ENSP00000410402	NA
9606.ENSP00000410402	NA
9606.ENSP00000410402	9606.ENSP00000378974
9606.ENSP00000410402	9606.ENSP00000378974
9606.ENSP00000410402	9606.ENSP00000394560
9606.ENSP00000410402	9606.ENSP00000394560
9606.ENSP00000381070	NA
9606.ENSP00000381070	NA
9606.ENSP00000381070	9606.ENSP00000378974
9606.ENSP00000381070	9606.ENSP00000378974
9606.ENSP00000381070	9606.ENSP00000394560
9606.ENSP00000381070	9606.ENSP00000394560
9606.ENSP00000482657	9606.ENSP00000359424
9606.ENSP00000482657	9606.ENSP00000430684
9606.ENSP00000382423	9606.ENSP00000410402
9606.ENSP00000382423	9606.ENSP00000410402
9606.ENSP00000382423	9606.ENSP00000381070
9606.ENSP00000382423	9606.ENSP00000381070
9606.ENSP00000351908	9606.ENSP00000345083
9606.ENSP00000351908	9606.ENSP00000345083
9606.ENSP00000351908	9606.ENSP00000410402
9606.ENSP00000351908	9606.ENSP00000410402
9606.ENSP00000351908	9606.ENSP00000381070
9606.ENSP00000351908	9606.ENSP00000381070
9606.ENSP00000294066	9606.ENSP00000382423
9606.ENSP00000294066	9606.ENSP00000382423
9606.ENSP00000294066	9606.ENSP00000351908
9606.ENSP00000294066	9606.ENSP00000351908
9606.ENSP00000263881	9606.ENSP00000382423
9606.ENSP00000263881	9606.ENSP00000382423
9606.ENSP00000263881	9606.ENSP00000351908
9606.ENSP00000263881	9606.ENSP00000351908
9606.ENSP00000343658	9606.ENSP00000382423
9606.ENSP00000343658	9606.ENSP00000382423
9606.ENSP00000343658	9606.ENSP00000351908
9606.ENSP00000343658	9606.ENSP00000351908
NA	9606.ENSP00000306245
NA	9606.ENSP00000360266
9606.ENSP00000215832	9606.ENSP00000262053
9606.ENSP00000215832	9606.ENSP00000264110
9606.ENSP00000215832	9606.ENSP00000344352
9606.ENSP00000215832	9606.ENSP00000336790
9606.ENSP00000215832	9606.ENSP00000364349
9606.ENSP00000215832	9606.ENSP00000356919
9606.ENSP00000215832	9606.ENSP00000399465
9606.ENSP00000215832	9606.ENSP00000265372
9606.ENSP00000215832	9606.ENSP00000267569
9606.ENSP00000263025	9606.ENSP00000262053
9606.ENSP00000263025	9606.ENSP00000264110
9606.ENSP00000263025	9606.ENSP00000344352
9606.ENSP00000263025	9606.ENSP00000336790
9606.ENSP00000263025	9606.ENSP00000364349
9606.ENSP00000263025	9606.ENSP00000356919
9606.ENSP00000263025	9606.ENSP00000399465
9606.ENSP00000263025	9606.ENSP00000265372
9606.ENSP00000263025	9606.ENSP00000267569
9606.ENSP00000378974	9606.ENSP00000306245
9606.ENSP00000378974	9606.ENSP00000360266
9606.ENSP00000394560	9606.ENSP00000306245
9606.ENSP00000394560	9606.ENSP00000360266
9606.ENSP00000358022	9606.ENSP00000376943
9606.ENSP00000226574	9606.ENSP00000216797
9606.ENSP00000358983	9606.ENSP00000216797
9606.ENSP00000216797	9606.ENSP00000384273
9606.ENSP00000216797	9606.ENSP00000221452
9606.ENSP00000216797	9606.ENSP00000295025
9606.ENSP00000263967	9606.ENSP00000451828
9606.ENSP00000263967	9606.ENSP00000375892
9606.ENSP00000263967	9606.ENSP00000500582
9606.ENSP00000501150	9606.ENSP00000451828
9606.ENSP00000501150	9606.ENSP00000375892
9606.ENSP00000501150	9606.ENSP00000500582
9606.ENSP00000366563	9606.ENSP00000451828
9606.ENSP00000366563	9606.ENSP00000375892
9606.ENSP00000366563	9606.ENSP00000500582
9606.ENSP00000419260	9606.ENSP00000451828
9606.ENSP00000419260	9606.ENSP00000375892
9606.ENSP00000419260	9606.ENSP00000500582
9606.ENSP00000408695	9606.ENSP00000359424
9606.ENSP00000408695	9606.ENSP00000430684
9606.ENSP00000496129	9606.ENSP00000359424
9606.ENSP00000496129	9606.ENSP00000430684
9606.ENSP00000331602	9606.ENSP00000359424
9606.ENSP00000331602	9606.ENSP00000430684
9606.ENSP00000306124	9606.ENSP00000359424
9606.ENSP00000306124	9606.ENSP00000430684
9606.ENSP00000263431	9606.ENSP00000359424
9606.ENSP00000263431	9606.ENSP00000430684
9606.ENSP00000329127	9606.ENSP00000359424
9606.ENSP00000329127	9606.ENSP00000430684
9606.ENSP00000263125	9606.ENSP00000359424
9606.ENSP00000263125	9606.ENSP00000430684
9606.ENSP00000318176	9606.ENSP00000233057
9606.ENSP00000259808	9606.ENSP00000286186
9606.ENSP00000259808	9606.ENSP00000351273
9606.ENSP00000259808	9606.ENSP00000482657
9606.ENSP00000259808	9606.ENSP00000294066
9606.ENSP00000259808	9606.ENSP00000263881
9606.ENSP00000259808	9606.ENSP00000343658
9606.ENSP00000259808	9606.ENSP00000263967
9606.ENSP00000259808	9606.ENSP00000501150
9606.ENSP00000259808	9606.ENSP00000366563
9606.ENSP00000259808	9606.ENSP00000419260
9606.ENSP00000259808	9606.ENSP00000408695
9606.ENSP00000259808	9606.ENSP00000496129
9606.ENSP00000259808	9606.ENSP00000331602
9606.ENSP00000259808	9606.ENSP00000306124
9606.ENSP00000259808	9606.ENSP00000263431
9606.ENSP00000259808	9606.ENSP00000329127
9606.ENSP00000259808	9606.ENSP00000263125
9606.ENSP00000259808	9606.ENSP00000341268
9606.ENSP00000259808	9606.ENSP00000247668
9606.ENSP00000389277	9606.ENSP00000363591
9606.ENSP00000389277	9606.ENSP00000363591
9606.ENSP00000389277	9606.ENSP00000293288
9606.ENSP00000389277	9606.ENSP00000293288
9606.ENSP00000398698	9606.ENSP00000439068
9606.ENSP00000398698	9606.ENSP00000301838
9606.ENSP00000398698	9606.ENSP00000482657
9606.ENSP00000398698	9606.ENSP00000351908
9606.ENSP00000398698	9606.ENSP00000351908
9606.ENSP00000398698	9606.ENSP00000259808
9606.ENSP00000221132	9606.ENSP00000241261
9606.ENSP00000276431	9606.ENSP00000241261
9606.ENSP00000349324	9606.ENSP00000241261
9606.ENSP00000310263	9606.ENSP00000241261
9606.ENSP00000162749	9606.ENSP00000439068
9606.ENSP00000162749	9606.ENSP00000301838
9606.ENSP00000162749	9606.ENSP00000351908
9606.ENSP00000162749	9606.ENSP00000351908
9606.ENSP00000162749	9606.ENSP00000259808
9606.ENSP00000162749	9606.ENSP00000341268
9606.ENSP00000162749	9606.ENSP00000247668
9606.ENSP00000365435	9606.ENSP00000482657
9606.ENSP00000365435	9606.ENSP00000247668
9606.ENSP00000398698	9606.ENSP00000162749
9606.ENSP00000398698	9606.ENSP00000365435
9606.ENSP00000398698	9606.ENSP00000341268
9606.ENSP00000398698	9606.ENSP00000247668
9606.ENSP00000398698	9606.ENSP00000247668
9606.ENSP00000341268	9606.ENSP00000286186
9606.ENSP00000341268	9606.ENSP00000351273
9606.ENSP00000341268	9606.ENSP00000482657
9606.ENSP00000341268	9606.ENSP00000294066
9606.ENSP00000341268	9606.ENSP00000263881
9606.ENSP00000341268	9606.ENSP00000343658
9606.ENSP00000341268	9606.ENSP00000263967
9606.ENSP00000341268	9606.ENSP00000501150
9606.ENSP00000341268	9606.ENSP00000366563
9606.ENSP00000341268	9606.ENSP00000419260
9606.ENSP00000341268	9606.ENSP00000408695
9606.ENSP00000341268	9606.ENSP00000496129
9606.ENSP00000341268	9606.ENSP00000331602
9606.ENSP00000341268	9606.ENSP00000306124
9606.ENSP00000341268	9606.ENSP00000263431
