id	uniprot	string	ensembl
SMARCAL1	Q9NZC9	9606.ENSP00000349823	ENSG00000138375
SMARCC1	Q92922	9606.ENSP00000254480	ENSG00000173473
SMARCC2	Q8TAQ2	9606.ENSP00000449396	ENSG00000139613
NFATC3	Q12968	9606.ENSP00000300659	ENSG00000072736
NFATC2	Q13469	9606.ENSP00000379330	ENSG00000101096
NFATC1	O95644	9606.ENSP00000389377	ENSG00000131196
NFATC4	Q14934	9606.ENSP00000388910	ENSG00000100968
SMAD1	Q15797	9606.ENSP00000305769	ENSG00000170365
SMAD4	Q13485	9606.ENSP00000341551	ENSG00000141646
SMAD5	Q99717	9606.ENSP00000441954	ENSG00000113658
ARID1A	O14497	9606.ENSP00000320485	ENSG00000117713
LEF1	Q9UJU2	9606.ENSP00000265165	ENSG00000138795
SMARCE1	Q969G3	9606.ENSP00000323967	ENSG00000073584
TCF7L2	Q9NQB0	9606.ENSP00000486891	ENSG00000148737
TCF7L1	Q9HCS4	9606.ENSP00000282111	ENSG00000152284
