id	uniprot	string	ensembl
FZD10	Q9ULW2	9606.ENSP00000229030	ENSG00000111432
FZD1	Q9UP38	9606.ENSP00000287934	ENSG00000157240
FZD3	Q9NPG1	9606.ENSP00000240093	ENSG00000104290
FZD2	Q14332	9606.ENSP00000323901	ENSG00000180340
FZD5	Q13467	9606.ENSP00000354607	ENSG00000163251
FZD4	Q9ULV1	9606.ENSP00000434034	ENSG00000174804
FZD7	O75084	9606.ENSP00000286201	ENSG00000155760
FZD6	O60353	9606.ENSP00000351605	ENSG00000164930
FZD9	O00144	9606.ENSP00000345785	ENSG00000188763
FZD8	Q9H461	9606.ENSP00000363826	ENSG00000177283
CELSR1	Q9NYQ6	9606.ENSP00000262738	ENSG00000075275
CELSR2	Q9HCU4	9606.ENSP00000271332	ENSG00000143126
CELSR3	Q9NYQ7	9606.ENSP00000164024	ENSG00000008300
BMPR1A	P36894	9606.ENSP00000361107	ENSG00000107779
TGFBR1	P36897	9606.ENSP00000447297	ENSG00000106799
LRP5	O75197	9606.ENSP00000294304	ENSG00000162337
ACVR1B	P36896	9606.ENSP00000442656	ENSG00000135503
LRP6	O75581	9606.ENSP00000261349	ENSG00000070018
LRP6	O75581	9606.ENSP00000261349	ENSG00000281324
ACVR1C	Q8NER5	9606.ENSP00000243349	ENSG00000123612
