NODE1	INTERACTION_TYPE	NODE2
AKT2	controls-phosphorylation-of	CHUK
AKT2	controls-state-change-of	CHUK
AKT2	controls-phosphorylation-of	ELP1
AKT2	controls-state-change-of	ELP1
AKT2	controls-phosphorylation-of	GSK3A
AKT2	controls-state-change-of	GSK3A
AKT2	controls-phosphorylation-of	GSK3B
AKT2	controls-state-change-of	GSK3B
AKT2	controls-phosphorylation-of	IKBKB
AKT2	controls-state-change-of	IKBKB
AKT2	controls-phosphorylation-of	NINL
AKT2	controls-state-change-of	NINL
AKT2	controls-phosphorylation-of	NIN
AKT2	controls-state-change-of	NIN
ARAF	controls-phosphorylation-of	MAP2K1
ARAF	controls-state-change-of	MAP2K1
ARAF	controls-phosphorylation-of	MAP2K2
ARAF	controls-state-change-of	MAP2K2
BRAF	controls-phosphorylation-of	MAP2K1
BRAF	controls-state-change-of	MAP2K1
BRAF	controls-phosphorylation-of	MAP2K2
BRAF	controls-state-change-of	MAP2K2
GAB1	controls-state-change-of	HRAS
GAB1	controls-state-change-of	NRAS
GAB1	controls-state-change-of	RAB11B
GAB1	controls-state-change-of	RERG
GAB1	in-complex-with	SHC1
GAB1	in-complex-with	SHC2
GAB1	in-complex-with	SHC3
GAB1	in-complex-with	SOS1
GAB1	in-complex-with	SOS2
GAB2	controls-state-change-of	HRAS
GAB2	controls-state-change-of	NRAS
GAB2	controls-state-change-of	RAB11B
GAB2	controls-state-change-of	RERG
GAB2	in-complex-with	SHC1
GAB2	in-complex-with	SHC2
GAB2	in-complex-with	SHC3
GAB2	in-complex-with	SOS1
GAB2	in-complex-with	SOS2
GRAP2	controls-state-change-of	HRAS
GRAP2	controls-state-change-of	NRAS
GRAP2	controls-state-change-of	RAB11B
GRAP2	controls-state-change-of	RERG
GRAP2	in-complex-with	SHC1
GRAP2	in-complex-with	SHC2
GRAP2	in-complex-with	SHC3
GRAP2	in-complex-with	SOS1
GRAP2	in-complex-with	SOS2
GRAP	controls-state-change-of	HRAS
GRAP	controls-state-change-of	NRAS
GRAP	controls-state-change-of	RAB11B
GRAP	controls-state-change-of	RERG
GRAP	in-complex-with	SHC1
GRAP	in-complex-with	SHC2
GRAP	in-complex-with	SHC3
GRAP	in-complex-with	SOS1
GRAP	in-complex-with	SOS2
GRB2	controls-state-change-of	HRAS
GRB2	controls-state-change-of	NRAS
GRB2	controls-state-change-of	RAB11B
GRB2	controls-state-change-of	RERG
GRB2	in-complex-with	SHC1
GRB2	in-complex-with	SHC2
GRB2	in-complex-with	SHC3
GRB2	in-complex-with	SOS1
GRB2	in-complex-with	SOS2
HRAS	controls-state-change-of	ARAF
HRAS	controls-state-change-of	BRAF
HRAS	controls-state-change-of	RAF1
JAK1	controls-phosphorylation-of	STAT1
JAK1	controls-state-change-of	STAT1
JAK1	controls-phosphorylation-of	STAT2
JAK1	controls-state-change-of	STAT2
JAK1	controls-phosphorylation-of	STAT3
JAK1	controls-state-change-of	STAT3
JAK1	controls-phosphorylation-of	STAT4
JAK1	controls-state-change-of	STAT4
JAK1	controls-phosphorylation-of	STAT5A
JAK1	controls-state-change-of	STAT5A
JAK1	controls-phosphorylation-of	STAT5B
JAK1	controls-state-change-of	STAT5B
JAK1	controls-phosphorylation-of	STAT6
JAK1	controls-state-change-of	STAT6
JAK2	controls-phosphorylation-of	STAT1
JAK2	controls-state-change-of	STAT1
JAK2	controls-phosphorylation-of	STAT2
JAK2	controls-state-change-of	STAT2
JAK2	controls-phosphorylation-of	STAT3
JAK2	controls-state-change-of	STAT3
JAK2	controls-phosphorylation-of	STAT4
JAK2	controls-state-change-of	STAT4
JAK2	controls-phosphorylation-of	STAT5A
JAK2	controls-state-change-of	STAT5A
JAK2	controls-phosphorylation-of	STAT5B
JAK2	controls-state-change-of	STAT5B
JAK2	controls-phosphorylation-of	STAT6
JAK2	controls-state-change-of	STAT6
JAK3	controls-phosphorylation-of	STAT1
JAK3	controls-state-change-of	STAT1
JAK3	controls-phosphorylation-of	STAT2
JAK3	controls-state-change-of	STAT2
JAK3	controls-phosphorylation-of	STAT3
JAK3	controls-state-change-of	STAT3
JAK3	controls-phosphorylation-of	STAT4
JAK3	controls-state-change-of	STAT4
JAK3	controls-phosphorylation-of	STAT5A
JAK3	controls-state-change-of	STAT5A
JAK3	controls-phosphorylation-of	STAT5B
JAK3	controls-state-change-of	STAT5B
JAK3	controls-phosphorylation-of	STAT6
JAK3	controls-state-change-of	STAT6
MAP2K1	controls-phosphorylation-of	MAP3K2
MAP2K1	controls-state-change-of	MAP3K2
MAP2K1	controls-phosphorylation-of	MAP3K4
MAP2K1	controls-state-change-of	MAP3K4
MAP2K1	controls-phosphorylation-of	MAPK10
MAP2K1	controls-state-change-of	MAPK10
MAP2K1	controls-phosphorylation-of	MAPK15
MAP2K1	controls-state-change-of	MAPK15
MAP2K1	controls-phosphorylation-of	MAPK1
MAP2K1	controls-state-change-of	MAPK1
MAP2K1	controls-phosphorylation-of	MAPK3
MAP2K1	controls-state-change-of	MAPK3
MAP2K1	controls-phosphorylation-of	MAPK6
MAP2K1	controls-state-change-of	MAPK6
MAP2K1	controls-phosphorylation-of	MAPK7
MAP2K1	controls-state-change-of	MAPK7
MAP2K1	controls-phosphorylation-of	MAPK8
MAP2K1	controls-state-change-of	MAPK8
MAP2K2	controls-phosphorylation-of	MAP3K2
MAP2K2	controls-state-change-of	MAP3K2
MAP2K2	controls-phosphorylation-of	MAP3K4
MAP2K2	controls-state-change-of	MAP3K4
MAP2K2	controls-phosphorylation-of	MAPK10
MAP2K2	controls-state-change-of	MAPK10
MAP2K2	controls-phosphorylation-of	MAPK15
MAP2K2	controls-state-change-of	MAPK15
MAP2K2	controls-phosphorylation-of	MAPK1
MAP2K2	controls-state-change-of	MAPK1
MAP2K2	controls-phosphorylation-of	MAPK3
MAP2K2	controls-state-change-of	MAPK3
MAP2K2	controls-phosphorylation-of	MAPK6
MAP2K2	controls-state-change-of	MAPK6
MAP2K2	controls-phosphorylation-of	MAPK7
MAP2K2	controls-state-change-of	MAPK7
MAP2K2	controls-phosphorylation-of	MAPK8
MAP2K2	controls-state-change-of	MAPK8
MAP3K2	controls-phosphorylation-of	EHF
MAP3K2	controls-state-change-of	EHF
MAP3K2	controls-phosphorylation-of	ELF1
MAP3K2	controls-state-change-of	ELF1
MAP3K2	controls-phosphorylation-of	ELF2
MAP3K2	controls-state-change-of	ELF2
MAP3K2	controls-phosphorylation-of	ELF3
MAP3K2	controls-state-change-of	ELF3
MAP3K2	controls-phosphorylation-of	ELF4
MAP3K2	controls-state-change-of	ELF4
MAP3K2	controls-phosphorylation-of	ELF5
MAP3K2	controls-state-change-of	ELF5
MAP3K2	controls-phosphorylation-of	ELK1
MAP3K2	controls-state-change-of	ELK1
MAP3K2	controls-phosphorylation-of	ELK4
MAP3K2	controls-state-change-of	ELK4
MAP3K2	controls-phosphorylation-of	ERF
MAP3K2	controls-state-change-of	ERF
MAP3K2	controls-phosphorylation-of	ERG
MAP3K2	controls-state-change-of	ERG
MAP3K2	controls-phosphorylation-of	ETS1
MAP3K2	controls-state-change-of	ETS1
MAP3K2	controls-phosphorylation-of	ETV3
MAP3K2	controls-state-change-of	ETV3
MAP3K2	controls-phosphorylation-of	FEV
MAP3K2	controls-state-change-of	FEV
MAP3K2	controls-phosphorylation-of	FLI1
MAP3K2	controls-state-change-of	FLI1
MAP3K2	controls-phosphorylation-of	GABPA
MAP3K2	controls-state-change-of	GABPA
MAP3K2	controls-phosphorylation-of	JUN
MAP3K2	controls-state-change-of	JUN
MAP3K2	controls-phosphorylation-of	MAPKAPK2
MAP3K2	controls-state-change-of	MAPKAPK2
MAP3K2	controls-phosphorylation-of	MKNK1
MAP3K2	controls-state-change-of	MKNK1
MAP3K2	controls-phosphorylation-of	MKNK2
MAP3K2	controls-state-change-of	MKNK2
MAP3K2	controls-phosphorylation-of	MYCBP
MAP3K2	controls-state-change-of	MYCBP
MAP3K2	controls-phosphorylation-of	MYC
MAP3K2	controls-state-change-of	MYC
MAP3K2	controls-phosphorylation-of	RPS6KA1
MAP3K2	controls-state-change-of	RPS6KA1
MAP3K2	controls-phosphorylation-of	RPS6KA2
MAP3K2	controls-state-change-of	RPS6KA2
MAP3K2	controls-phosphorylation-of	RPS6KA3
MAP3K2	controls-state-change-of	RPS6KA3
MAP3K2	controls-phosphorylation-of	RPS6KA4
MAP3K2	controls-state-change-of	RPS6KA4
MAP3K2	controls-phosphorylation-of	RPS6KA5
MAP3K2	controls-state-change-of	RPS6KA5
MAP3K2	controls-phosphorylation-of	RPS6KA6
MAP3K2	controls-state-change-of	RPS6KA6
MAP3K2	controls-phosphorylation-of	RPS6KB1
MAP3K2	controls-state-change-of	RPS6KB1
MAP3K2	controls-phosphorylation-of	RPS6KB2
MAP3K2	controls-state-change-of	RPS6KB2
MAP3K2	controls-phosphorylation-of	RPS6KC1
MAP3K2	controls-state-change-of	RPS6KC1
MAP3K2	controls-phosphorylation-of	SPDEF
MAP3K2	controls-state-change-of	SPDEF
MAP3K2	controls-state-change-of	STAT1
MAP3K2	controls-state-change-of	STAT2
MAP3K2	controls-state-change-of	STAT3
MAP3K2	controls-state-change-of	STAT4
MAP3K2	controls-state-change-of	STAT5A
MAP3K2	controls-state-change-of	STAT5B
MAP3K2	controls-state-change-of	STAT6
MAP3K4	controls-phosphorylation-of	EHF
MAP3K4	controls-state-change-of	EHF
MAP3K4	controls-phosphorylation-of	ELF1
MAP3K4	controls-state-change-of	ELF1
MAP3K4	controls-phosphorylation-of	ELF2
MAP3K4	controls-state-change-of	ELF2
MAP3K4	controls-phosphorylation-of	ELF3
MAP3K4	controls-state-change-of	ELF3
MAP3K4	controls-phosphorylation-of	ELF4
MAP3K4	controls-state-change-of	ELF4
MAP3K4	controls-phosphorylation-of	ELF5
MAP3K4	controls-state-change-of	ELF5
MAP3K4	controls-phosphorylation-of	ELK1
MAP3K4	controls-state-change-of	ELK1
MAP3K4	controls-phosphorylation-of	ELK4
MAP3K4	controls-state-change-of	ELK4
MAP3K4	controls-phosphorylation-of	ERF
